Service_Name|Version|Service_Category|Atm_Service_Category|Messaging_Mode|LifeCicleStage|InterfaceType|ServiceProviderName
SubmitAltimeterSetting(WMSCR)|1.0|Navigation|ArrivalandDeparture|Point-to-Point|Verification|Method-Oriented|WeatherMessageSwitchingCenterReplacement(WMSCR)
SubmitPIREP(WMSCR)|1.0|Weather|NASManagement|Point-to-Point|Production|Method-Oriented|WMSCRTechOpsSupport
SubmitPIREP(WMSCR)|1.0|Weather|NASManagement|Point-to-Point|Production|Method-Oriented|SoftwareEngineerFlightServiceandWeatherEngineeringOffice
TBFMMeteringPublication(TBFM-MIS)|4.3|Flight|FlightPlanning|Publish/Subscribe|Development|Message-Oriented|Time-BasedFlowManagement
TBFMReleaseTimeCoordinationService(TBFM-RTCS)||Flight|FlightPlanning|Essential|Proposed|Method-Oriented|
TFDMAirportandFlightInformation(AFIS)|1.0|Flight|Airport|Publish/Subscribe|Proposed|Message-Oriented|TerminalFlightDataManager(TFDM)
TFMData|R10- v1.9|Flight|ArrivalandDeparture|Publish/Subscribe|Production|Message-Oriented|TFMS
TFMDataR13|v2.0.5|Flight|ArrivalandDeparture|Publish/Subscribe|Production|Message-Oriented|TFMS
WARPPublication|1.0|Weather|FlightPlanning|Publish/Subscribe|Proposed|Message-Oriented|HarrisCommercialWeather
WARPPublication|1.0|Weather|Airport|Publish/Subscribe|Proposed|Message-Oriented|HarrisCommercialWeather
WARPPublication|1.0|Weather|ArrivalandDeparture|Publish/Subscribe|Proposed|Message-Oriented|HarrisCommercialWeather
WARPPublication|1.0|Weather|EnRouteCruise/Oceanic|Publish/Subscribe|Proposed|Message-Oriented|HarrisCommercialWeather
WARPPublication|1.0|Weather|EnRouteCruise/Oceanic|Publish/Subscribe|Proposed|Message-Oriented|HarrisCommercialWeather
WARPVendorWeatherDataPublication|2.0|Weather|FlightPlanning|Publish/Subscribe|Proposed|Message-Oriented|HarrisCommericalWeather
WARPVendorWeatherDataPublication|2.0|Weather|Airport|Publish/Subscribe|Proposed|Message-Oriented|HarrisCommericalWeather
WARPVendorWeatherDataPublication|2.0|Weather|ArrivalandDeparture|Publish/Subscribe|Proposed|Message-Oriented|HarrisCommericalWeather
WARPVendorWeatherDataPublication|2.0|Weather|EnRouteCruise/Oceanic|Publish/Subscribe|Proposed|Message-Oriented|HarrisCommericalWeather
WARPVendorWeatherDataPublication|2.0|Weather|EnRouteCruise/Oceanic|Publish/Subscribe|Proposed|Message-Oriented|HarrisCommericalWeather
WMSCRReportRetrieval(WMSCR)|1.0|Weather|FlightPlanning|Point-to-Point|Verification|Method-Oriented|WeatherMesageSwitchingCenterReplacement
WMSCRReportRetrieval(WMSCR)|1.0|Weather|ArrivalandDeparture|Point-to-Point|Verification|Method-Oriented|WeatherMesageSwitchingCenterReplacement
WMSCRReportRetrieval(WMSCR)|1.0|Weather|EnRouteCruise/Oceanic|Point-to-Point|Verification|Method-Oriented|WeatherMesageSwitchingCenterReplacement
WMSCRReportRetrieval(WMSCR)|1.0|Weather|EnRouteCruise/Oceanic|Point-to-Point|Verification|Method-Oriented|WeatherMesageSwitchingCenterReplacement
WMSCRReportRetrieval(WMSCR)|1.0|Weather|FlightPlanning|Point-to-Point|Verification|Method-Oriented|WeatherMesageSwitchingCenterReplacement
WMSCRReportRetrieval(WMSCR)|1.0|Weather|ArrivalandDeparture|Point-to-Point|Verification|Method-Oriented|WeatherMesageSwitchingCenterReplacement
WMSCRReportRetrieval(WMSCR)|1.0|Weather|EnRouteCruise/Oceanic|Point-to-Point|Verification|Method-Oriented|WeatherMesageSwitchingCenterReplacement
WMSCRReportRetrieval(WMSCR)|1.0|Weather|EnRouteCruise/Oceanic|Point-to-Point|Verification|Method-Oriented|WeatherMesageSwitchingCenterReplacement
